categoria,tipo,bairro,cidade,endereco,valor,dia/mes,metragem,quartos,banheiros,vagas,link,timestamp
venda,apartamento,Santa Mônica,Florianópolis,Avenida Madre Benvenuta,1590000,,95,3,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-santa-monica-florianopolis-sc-95m2-id-2760427858/,2024-12-20 20:04:17
venda,apartamento,Itacorubi,Florianópolis,Rodovia Admar Gonzaga,690000,,86,3,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-itacorubi-florianopolis-86m2-id-2764759030/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Félix Kleis,317639,,28,1,1,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-28m2-id-2762251404/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Félix Kleis,621134,,59,2,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-monica-florianopolis-59m2-id-2762258679/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Félix Kleis,440395,,38,1,1,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-38m2-id-2762265728/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Félix Kleis,621134,,59,2,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-monica-florianopolis-59m2-id-2760094470/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Juvenal Farias,889720,,76,2,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-santa-monica-florianopolis-76m2-id-2756845016/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Coronel Maurício Spalding de Souza,2250000,,348,4,4,4,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-santa-monica-florianopolis-348m2-id-2752475008/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Juvenal Farias,340000,,29,1,1,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-29m2-id-2735248276/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Avenida Madre Benvenuta,1590000,,95,3,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-santa-monica-florianopolis-95m2-id-2760427858/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Félix Kleis,413335,,37,1,1,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-santa-monica-florianopolis-37m2-id-2761350536/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Juvenal Farias,3000000,,257,3,5,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-monica-florianopolis-257m2-id-2730041623/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Cônego Thomaz Fontes,1950000,,194,4,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-santa-monica-florianopolis-194m2-id-2728458617/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Avenida Madre Benvenuta,1250000,,82,3,3,2,,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Avenida Madre Benvenuta,2000000,,93,3,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-monica-florianopolis-93m2-id-2678018897/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Professor Gilberto Cabussu,1980000,,179,4,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-santa-monica-florianopolis-179m2-id-2662565262/,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Juvenal Farias,935740,,77,2,1,1,,2024-12-20 20:04:17
venda,apartamento,Santa Mônica,Florianópolis,Rua Juvenal Farias,935740,,26,2,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-santa-monica-florianopolis-26m2-id-2756845013/,2024-12-20 20:04:17
